case_id,attempt_no,deploy_success,failed_stage,error_type
feature/attach_type_unsupported,1,false,static_check_failed,attach_target_missing
feature/btf_unsupported,1,false,static_check_failed,helper_api_compatibility
feature/map_type_unsupported,1,false,static_check_failed,helper_api_compatibility
feature/map_type_unsupported,2,true,,
feature/program_type_unsupported,1,false,static_check_failed,attach_type_unsupported
helper_func/helper_bpf_get_current_task_bpf,1,false,static_check_failed,helper_api_compatibility
helper_func/helper_bpf_get_current_task_bpf,2,false,static_check_failed,helper_api_compatibility
helper_func/helper_bpf_get_current_task_bpf,3,false,static_check_failed,helper_api_compatibility
helper_func/helper_bpf_get_current_task_bpf,4,false,static_check_failed,helper_api_compatibility
helper_func/helper_bpf_get_current_task_bpf,5,false,compile_failed,
helper_func/helper_bpf_ktime_get_boot_ns,1,false,static_check_failed,helper_api_compatibility
helper_func/helper_bpf_ktime_get_boot_ns,2,true,,
helper_func/helper_bpf_snprintf,1,false,static_check_failed,helper_api_compatibility
helper_func/helper_bpf_strncmp,1,false,static_check_failed,helper_api_compatibility
helper_func/helper_bpf_strncmp,2,true,,
kernel_struct/field_add_remove,1,false,static_check_failed,core_requires_btf
kernel_struct/field_offset_change,1,false,static_check_failed,helper_api_compatibility
kernel_struct/field_offset_change,2,false,runtime_test_failed,struct_member_offset_mismatch
kernel_struct/field_renamed,1,false,static_check_failed,helper_api_compatibility
verifier/loop_support,1,false,load_failed,unbounded_loop
verifier/loop_support,2,true,,
verifier/state_explosion,1,false,load_failed,state_explosion
verifier/state_explosion,2,false,load_failed,unbounded_loop
verifier/state_explosion,3,false,compile_failed,stack_overflow
verifier/state_explosion,4,false,compile_failed,stack_overflow
verifier/state_explosion,5,false,compile_failed,
