case_id,initial_deploy_state,final_deploy_state,total_time,final_failed_stage,final_error_type,total_repair_round,analyzer_round,repairer_round,inspector_round,refiner_round,analyzer_time_consumption,repairer_time_consumption,inspector_time_consumption,refiner_time_consumption,total_agent_calls,deploy_tool_round,first_analyzer_can_fix,last_analyzer_can_fix
feature/attach_type_unsupported,false,false,499.62,runtime_test_failed,runtime_test_failed,4,3,4,4,1,67.38,323.45,76.18,20.87,12,3,true,true
feature/btf_unsupported,false,true,226.13,,,3,1,3,3,1,11.32,121.12,63.46,24.86,8,2,true,true
feature/map_type_unsupported,false,true,86.08,,,1,1,1,1,1,35.66,18.52,21.35,9.70,4,2,true,true
feature/program_type_unsupported,false,false,46.59,static_check_failed,attach_type_unsupported,0,1,0,0,1,35.94,0.00,0.00,10.65,2,1,false,false
helper_func/helper_bpf_get_current_task_bpf,false,true,94.76,,,1,1,1,1,1,15.82,48.91,9.56,15.11,4,2,true,true
helper_func/helper_bpf_ktime_get_boot_ns,false,true,69.65,,,1,1,1,1,1,35.16,15.33,10.54,7.73,4,2,true,true
helper_func/helper_bpf_snprintf,false,false,746.87,static_check_failed,helper_api_compatibility,4,1,4,4,1,13.61,642.61,80.21,10.46,10,1,true,true
helper_func/helper_bpf_strncmp,false,false,650.55,static_check_failed,helper_api_compatibility,4,1,4,4,1,12.69,556.55,65.39,15.91,10,1,true,true
kernel_struct/field_add_remove,false,true,67.38,,,1,1,1,1,1,14.68,13.96,12.55,20.72,4,2,true,true
kernel_struct/field_offset_change,false,false,393.24,runtime_test_failed,runtime_test_failed,4,4,4,4,1,69.99,234.62,59.88,24.14,13,4,true,true
kernel_struct/field_renamed,false,false,451.64,load_failed,verifier_reject,4,3,4,4,1,57.55,292.52,69.77,21.44,12,3,true,true
verifier/loop_support,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
verifier/state_explosion,false,true,77.71,,,1,1,1,1,1,22.40,25.06,14.00,15.29,4,2,true,true
