case_id,attempt_no,deploy_success,failed_stage,error_type
feature/attach_type_unsupported,1,true,,
feature/btf_unsupported,1,true,,
feature/map_type_unsupported,1,true,,
feature/program_type_unsupported,1,true,,
helper_func/helper_bpf_get_current_task_bpf,1,true,,
helper_func/helper_bpf_ktime_get_boot_ns,1,true,,
helper_func/helper_bpf_snprintf,1,true,,
helper_func/helper_bpf_strncmp,1,false,static_check_failed,helper_unsupported
helper_func/helper_bpf_strncmp,2,true,,
kernel_struct/field_add_remove,1,true,,
kernel_struct/field_offset_change,1,false,runtime_test_failed,kernel_struct_offset_mismatch
kernel_struct/field_offset_change,2,false,runtime_test_failed,kernel_struct_offset_mismatch
kernel_struct/field_offset_change,3,true,,
kernel_struct/field_renamed,1,true,,
verifier/loop_support,1,true,,
verifier/state_explosion,1,true,,
